Company_name,Scope 1 Emissions,Scope 2 Emissions,Total emissions
Subros Limited,14134.78,26083.46,40218.24
Sudarshan Chemical Industries Limited,264735.62,24882.69,289618.31
Sula Vineyards Limited,2075,2873,4948
SUMITOMO CHEMICAL INDIA LIMITED,29556,17763,47319
Sun Pharma Advanced Research Company Limited,Not disclosed,Not disclosed,0
Sun Pharmaceutical Industries Limited,156242,236080,392322
Sun TV Network Limited,1183.47,1469.14,2652.61
Sundaram Clayton Limited,17822,41024,58846
Sundaram Finance Holdings Limited,Not disclosed,Not disclosed,0
SUNDARAM FINANCE LIMITED,2387.83,6838.59,9226.42
Sundram Fasteners Limited,24389,108297,132686
SUNDROP BRANDS LIMITED,2969,8847,11816
Sunflag Iron and Steel Company Limited,1527748.16,176158.2,1703906.36
Sunteck Realty Limited,195.19,1056.44,1251.63
Suprajit Engineering Limited,1947,14823,16770
Supreme Industries Limited,18976.48,223807.27,242783.75
SUPREME PETROCHEM LIMITED,12425,29482,41907
Supriya Lifescience Limited,480.49,13425.26,13905.75
SURYA ROSHNI LIMITED,14687.98,51271.49,65959.47
SURYODAY SMALL FINANCE BANK LIMITED,0,1662.79,1662.79
SUTLEJ TEXTILES AND INDUSTRIES LIMITED,122042.49,322948.22,444990.71
Suven Life Sciences Limited,32.09,883.51,915.6
SUZLON ENERGY LIMITED,9002,39924,48926
Swan Corp Limited,22137.59,3618.94,25756.53
Swaraj Engines Limited,1039,7649,8688
Swiggy Limited,107.28,350.76,458.04
SYMPHONY LIMITED,35.07,244.68,279.75
Syncom Formulations (India) Limited,12.5,11.65,24.15
Syngene International Limited,6637,6958,13595
Syrma SGS Technology Limited,1050.68,17189.86,18240.54
TAJ GVK HOTELS & RESORTS LIMITED,3019,11698,14717
Tamil Nadu Newsprint & Papers Limited,1082357,75528,1157885
Tamilnad Mercantile Bank Limited,1644.04,18442.54,20086.58
Tamilnadu Petroproducts Limited,155150,17787,172937
Tanla Platforms Limited,102.52,1029,1131.52
TARC Limited,55.88,826.31,882.19
TARSONS PRODUCTS LIMITED,106.38,9168.65,9275.03
Tasty Bite Eatables Limited,10419,6774.46,17193.46
TATA CHEMICALS LIMITED,4770357,75534,4845891
TATA COMMUNICATIONS LIMITED,4424,68911,73335
Tata Consultancy Services Limited,20494.8,55599,76093.8
Tata Consumer Products Limited,64943,71211,136154
Tata Elxsi Limited,114.9,4826,4940.9
Tata Investment Corporation Limited,0,34.04,34.04
Tata Motors Limited,43754,131407,175161
TATA POWER COMPANY LIMITED,41352681,3201561,44554242
Tata Steel Limited,61,5,66
Tata Technologies Limited,701,7293,7994
Tata Teleservices (Maharashtra) Limited,117,11299,11416
Tatva Chintan Pharma Chem Limited,7663.18,15022.34,22685.52
TBO Tek Limited,60.73,822.21,882.94
TCI Express Limited,394.25,0.85,395.1
TCPL Packaging Limited,3909.92,33678.5,37588.42
TD Power Systems Limited,1134.62,9087.2,10221.82
TeamLease Services Limited,10.75,901.45,912.2
Tech Mahindra Limited,12435,76735,89170
Techno Electric & Engineering Company Limited,1788,1005,2793
Technocraft Industries (India) Limited,23673.09,49865.65,73538.74
TEGA INDUSTRIES LIMITED,6539.12,8627.16,15166.28
Tejas Networks Limited,582.92,9028.21,9611.13
Texmaco Rail & Engineering Limited,2,Not disclosed,2
Thangamayil Jewellery Limited,227.5,4541.98,4769.48
THE ANDHRA SUGARS LIMITED,473656.64,0,473656.64
The Anup Engineering Limited,1587,6244,7831
THE FEDERAL BANK LIMITED,2111.39,29616.56,31727.95
The Great Eastern Shipping Company Limited,857135.21,826.93,857962.14
THE INDIA CEMENTS LIMITED,5224846,492365,5717211
The Indian Hotels Company Limited,26136.16,45990.11,72126.27
The Jammu & Kashmir Bank Limited,Not disclosed,Not disclosed,0
THE KARNATAKA BANK LIMITED,2,Not disclosed,2
THE NEW INDIA ASSURANCE COMPANY LIMITED,2669,16190,18859
THE PHOENIX MILLS LIMITED,173.25,2255,2428.25
The Ramco Cements Limited,10283160.03,244925.03,10528085.06
The South Indian Bank Limited,262.06,17712.11,17974.17
THE UGAR SUGAR WORKS LIMITED,Not disclosed,Not disclosed,0
THEJO ENGINEERING LIMITED,5323,2540,7863
THEMIS MEDICARE LIMITED,1062.6,6665.37,7727.97
Thermax Limited,7384,12059,19443
THIRUMALAI CHEMICALS LIMITED,98464,2160.73,100624.73
Thomas Cook (India) Limited,13.32,23303.94,23317.26
Thyrocare Technologies Limited,30.47,5845.6,5876.07
Tilaknagar Industries Limited,107.04,1136.59,1243.63
Time Technoplast Limited,0,0,0
Timken India Limited,4482.77,32755.41,37238.18
Tips Music Limited,Not disclosed,Not disclosed,0
TITAGARH RAIL SYSTEMS LIMITED,18767.34,33399,52166.34
Titan Company Limited,3952,26326,30278
Torrent Pharmaceuticals Limited,8937,78592,87529
Torrent Power Limited,4.86,1.32,6.18
Transformers and Rectifiers (India) Limited,6563.22,4140.18,10703.4
Transport Corporation of India Limited,130869.55,14542.95,145412.5
Transworld Shipping Lines Limited,223139.38,35.22,223174.6
Trent Limited,7022.69,182813.59,189836.28
TRIDENT LIMITED,658509,360850,1019359
Triveni Engineering & Industries Limited,42858.87,2132.98,44991.85
Triveni Turbine Limited,4142.84,3353.61,7496.45
TTK Healthcare Limited,7535.3,15853,23388.3
TTK PRESTIGE LIMITED,2370,12597,14967
Tube Investments of India Limited,49159,48916,98075
TV Today Network Limited,855.08,6419.6,7274.68
TVS Holdings Limited,Not disclosed,Not disclosed,0
TVS Motor Company Limited,20440.92,2963.09,23404.01
TVS Srichakra Limited,100686,27927,128613
TVS Supply Chain Solutions Limited,440.77,10912,11352.77
UCO BANK,890.46,69537.52,70427.98
UFlex Limited,46086.38,221147.94,267234.32
UGRO Capital Limited,Not disclosed,Not disclosed,0
UJAAS ENERGY LIMITED,Not disclosed,Not disclosed,0
Ujjivan Small Finance Bank Limited,600.52,13270.24,13870.76
UltraTech Cement Limited,81107852,1884213.56,82992065.56
Unichem Laboratories Limited,10405,59689,70094
Unimech Aerospace and Manufacturing Limited,75.16,1252.54,1327.7
UNION BANK OF INDIA,11161.31,166961.24,178122.55
Uniparts India Limited,5881,16329.03,22210.03
Uniphos Enterprises Limited,Not disclosed,Not disclosed,0
Unitech Limited,Not disclosed,Not disclosed,0
UNITED BREWERIES LIMITED,5389.81,0,5389.81
UNITED DRILLING TOOLS LIMITED,Not disclosed,Not disclosed,0
United Spirits Limited,2386,9857,12243
Universal Cables Limited,4773,16823,21596
Uno Minda Limited,73662,119525,193187
UPDATER SERVICES LIMITED,427.84,632.34,1060.18
UPL LIMITED,657111,160730,817841
URJA GLOBAL LIMITED,Not disclosed,Not disclosed,0
Usha Martin Limited,187661.95,21105.98,208767.93
UTI Asset Management Company Limited,21.41,1865.46,1886.87
UTKARSH SMALL FINANCE BANK LIMITED,Not disclosed,Not disclosed,0
Uttam Sugar Mills Limited,22,0,22
V-GUARD INDUSTRIES LIMITED,2145.92,1661.36,3807.28
V-MART RETAIL LIMITED,Not disclosed,Not disclosed,0
V.S.T TILLERS TRACTORS LIMITED,1764,1552,3316
V2 Retail Limited,14345.94,0,14345.94
VA TECH WABAG LIMITED,269,3505,3774
VADILAL INDUSTRIES LIMITED,0.14,15.07,15.21
Vaibhav Global Limited,113347.8,26247.94,139595.74
Vakrangee Limited,1552,0,1552
Valiant Organics Limited,Not disclosed,Not disclosed,0
VALOR ESTATE LIMITED,Not disclosed,Not disclosed,0
VARDHMAN ACRYLICS LIMITED,45401,140646,186047
Vardhman Holdings Limited,348977,762369,1111346
Vardhman Special Steels Limited,2157,100639,102796
Vardhman Textiles Limited,88224,352883,441107
Varroc Engineering Limited,7.58,906.29,913.87
Varun Beverages Limited,63324730,3594210,66918940
Vedant Fashions Limited,380,1194,1574
Vedanta Limited,1769,5605,7374
Veedol Corporation Limited,6780,9746,16526
Venky's (India) Limited,Not disclosed,Not disclosed,0
VENUS PIPES & TUBES LIMITED,8077,0,8077
VERANDA LEARNING SOLUTIONS LIMITED,2433.6,12707.89,15141.49
Vesuvius India Limited,15680,4339,20019
VIDHI SPECIALTY FOOD INGREDIENTS LIMITED,Not disclosed,Not disclosed,0
Vijaya Diagnostic Centre Limited,294797,23356,318153
Vinati Organics Limited,540.08,8964.26,9504.34
Vindhya Telelinks Limited,129,12012,12141
VIP INDUSTRIES LIMITED,1386,72770,74156
Visaka Industries Limited,17158,99592,116750
VISHAL MEGA MART LIMITED,306470.07,57527.84,363997.91
Vishnu Chemicals Limited,Not disclosed,Not disclosed,0
VISHNU PRAKASH R PUNGLIA LIMITED,5853.9,50039.3,55893.2
Vodafone Idea Limited,8537.88,336218.27,344756.15
Voltamp Transformers Limited,1258.36,3036.8,4295.16
Voltas Limited,2341.43,15722.03,18063.46
VRL LOGISTICS LIMITED,274255.01,9418.15,283673.16
VST Industries Limited,984.74,2322,3306.74
Waaree Energies Limited,357.13,93462.02,93819.15
Waaree Renewable Technologies Limited,313.4,213.8,527.2
WEBSOL ENERGY SYSTEM LIMITED,35.75,19656.23,19691.98
Welspun Corp Limited,1702995,265425,1968420
WELSPUN ENTERPRISES LIMITED,8548.5,1597.47,10145.97
Welspun Living Limited,256451,465706,722157
Wendt (India) Limited,220.14,2933.58,3153.72
West Coast Paper Mills Limited,482348,6303,488651
Westlife Foodworld Limited,14723.34,68334,83057.34
Wheels India Limited,21099,38957,60056
Whirlpool of India Limited,2215,19496,21711
Wipro Limited,8046,23416,31462
Wockhardt Limited,8738.84,61310.66,70049.5
Wonderla Holidays Limited,Not disclosed,Not disclosed,0
Xchanging Solutions Limited,Not disclosed,Not disclosed,0
Xpro India Limited,9062.56,27689.84,36752.4
Yasho Industries Limited,16270,15801,32071
YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,Not disclosed,Not disclosed,0
Yatra Online Limited,0,980.76,980.76
YES Bank Limited,4585.69,29408.03,33993.72
Zaggle Prepaid Ocean Services Limited,0,130.67,130.67
Zee Entertainment Enterprises Limited,6065.1,8340.66,14405.76
Zee Media Corporation Limited,Not disclosed,Not disclosed,0
Zen Technologies Limited,39.39,552.92,592.31
ZENSAR TECHNOLOGIES LIMITED,469.12,1388.81,1857.93
ZF Commercial Vehicle Control Systems India Limited,1763,5891.92,7654.92
ZINKA LOGISTICS SOLUTIONS LIMITED,Not disclosed,Not disclosed,0
Zota Health Care Limited,Not disclosed,Not disclosed,0
Zydus Lifesciences Limited,56459.38,205171.57,261630.95
Zydus Wellness Limited,11343,10289,21632
